Day Index,Quantity,Impressions,Clicks,Day,Month,Year,Day of Week,Weekend,December,January,February,March,April,May,June,is monday,is tuesday,is wednesday,is thursday,is friday,is saturday,is sunday,Quantity per Impressions,Quantity per Clicks,Quantity_lag1,Impressions_lag1,Clicks_lag1,Quantity 7-day MA,Impressions 7-day MA,Clicks 7-day MA
2022-02-03,21,1084,453,3,2,2022,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.01937269372693727,0.046357615894039736,13.0,1146.0,444.0,15.714285714285714,1132.5714285714287,433.14285714285717
2022-02-04,23,1059,483,4,2,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.021718602455146365,0.047619047619047616,21.0,1084.0,453.0,17.142857142857142,1175.142857142857,444.0
2022-02-05,15,1413,389,5,2,2022,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.010615711252653927,0.038560411311053984,23.0,1059.0,483.0,17.285714285714285,1170.2857142857142,442.2857142857143
2022-02-06,12,1361,404,6,2,2022,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.00881704628949302,0.0297029702970297,15.0,1413.0,389.0,17.714285714285715,1195.0,439.42857142857144
2022-02-07,22,1276,464,7,2,2022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.017241379310344827,0.04741379310344827,12.0,1361.0,404.0,18.714285714285715,1197.4285714285713,442.42857142857144
2022-02-08,17,1409,438,8,2,2022,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0120652945351313,0.03881278538812785,22.0,1276.0,464.0,17.571428571428573,1249.7142857142858,439.2857142857143
2022-02-09,20,1501,442,9,2,2022,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.013324450366422385,0.04524886877828054,17.0,1409.0,438.0,18.571428571428573,1300.4285714285713,439.0
2022-02-10,23,1744,459,10,2,2022,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.013188073394495414,0.05010893246187364,20.0,1501.0,442.0,18.857142857142858,1394.7142857142858,439.85714285714283
2022-02-11,16,1922,463,11,2,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.008324661810613945,0.03455723542116631,23.0,1744.0,459.0,17.857142857142858,1518.0,437.0
2022-02-12,15,1646,521,12,2,2022,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.009113001215066828,0.028790786948176585,16.0,1922.0,463.0,17.857142857142858,1551.2857142857142,455.85714285714283
2022-02-13,27,2013,513,13,2,2022,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.013412816691505217,0.05263157894736842,15.0,1646.0,521.0,20.0,1644.4285714285713,471.42857142857144
2022-02-14,19,2707,510,14,2,2022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.007018840044329516,0.03725490196078431,27.0,2013.0,513.0,19.571428571428573,1848.857142857143,478.0
2022-02-15,17,2454,502,15,2,2022,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0069274653626731865,0.03386454183266932,19.0,2707.0,510.0,19.571428571428573,1998.142857142857,487.14285714285717
2022-02-16,22,2019,525,16,2,2022,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.010896483407627538,0.0419047619047619,17.0,2454.0,502.0,19.857142857142858,2072.1428571428573,499.0
2022-02-17,38,2351,505,17,2,2022,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.016163334751169715,0.07524752475247524,22.0,2019.0,525.0,22.0,2158.8571428571427,505.57142857142856
2022-02-18,28,1871,558,18,2,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.014965259219668627,0.05017921146953405,38.0,2351.0,505.0,23.714285714285715,2151.5714285714284,519.1428571428571
2022-02-19,23,1462,614,19,2,2022,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.01573187414500684,0.03745928338762215,28.0,1871.0,558.0,24.857142857142858,2125.285714285714,532.4285714285714
2022-02-20,15,1097,603,20,2,2022,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.013673655423883319,0.024875621890547265,23.0,1462.0,614.0,23.142857142857142,1994.4285714285713,545.2857142857143
2022-02-21,26,1071,726,21,2,2022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.02427637721755369,0.03581267217630854,15.0,1097.0,603.0,24.142857142857142,1760.7142857142858,576.1428571428571
2022-02-22,18,1046,607,22,2,2022,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.017208413001912046,0.029654036243822075,26.0,1071.0,726.0,24.285714285714285,1559.5714285714287,591.1428571428571
2022-02-23,21,944,518,23,2,2022,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.022245762711864406,0.04054054054054054,18.0,1046.0,607.0,24.142857142857142,1406.0,590.1428571428571
2022-02-24,5,1136,599,24,2,2022,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0044014084507042256,0.008347245409015025,21.0,944.0,518.0,19.428571428571427,1232.4285714285713,603.5714285714286
2022-02-25,12,1432,531,25,2,2022,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.008379888268156424,0.022598870056497175,5.0,1136.0,599.0,17.142857142857142,1169.7142857142858,599.7142857142857
2022-02-26,19,1388,598,26,2,2022,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.013688760806916427,0.03177257525083612,12.0,1432.0,531.0,16.571428571428573,1159.142857142857,597.4285714285714
2022-02-27,21,1175,516,27,2,2022,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.017872340425531916,0.040697674418604654,19.0,1388.0,598.0,17.428571428571427,1170.2857142857142,585.0
2022-02-28,21,1272,527,28,2,2022,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.01650943396226415,0.03984819734345351,21.0,1175.0,516.0,16.714285714285715,1199.0,556.5714285714286
2022-03-01,20,1706,505,1,3,2022,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.011723329425556858,0.039603960396039604,21.0,1272.0,527.0,17.0,1293.2857142857142,542.0
2022-03-02,17,1325,510,2,3,2022,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.012830188679245283,0.03333333333333333,20.0,1706.0,505.0,16.428571428571427,1347.7142857142858,540.8571428571429
2022-03-03,20,1435,459,3,3,2022,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.013937282229965157,0.04357298474945534,17.0,1325.0,510.0,18.571428571428573,1390.4285714285713,520.8571428571429
2022-03-04,17,1214,528,4,3,2022,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.01400329489291598,0.032196969696969696,20.0,1435.0,459.0,19.285714285714285,1359.2857142857142,520.4285714285714
2022-03-05,31,1147,536,5,3,2022,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.02702702702702703,0.05783582089552239,17.0,1214.0,528.0,21.0,1324.857142857143,511.57142857142856
2022-03-06,23,1386,548,6,3,2022,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.016594516594516596,0.041970802919708027,31.0,1147.0,536.0,21.285714285714285,1355.0,516.1428571428571
